scene	exit_code	pass_lines	fail_lines	error_lines	suite_pass	suite_total
res://tests/test_collision_block_forces_immediate_repath.tscn	0	10	0	0	10	10
res://tests/test_honest_repath_without_teleport.tscn	0	12	0	0	12	12
res://tests/test_combat_obstacle_chase_basic.tscn	0	12	0	0	12	12
res://tests/test_enemy_pursuit_exec_result_contract.tscn	0	6	0	0	6	6
res://tests/test_navigation_failure_reason_contract.tscn	0	8	0	0	8	8
res://tests/test_pursuit_mode_selection_by_context.tscn	0	8	0	0	8	8
res://tests/test_alert_combat_context_never_patrol.tscn	0	5	0	0	5	5
res://tests/test_patrol_route_variety.tscn	0	3	0	0	3	3
res://tests/test_patrol_route_traversability_filter.tscn	0	8	0	0	8	8
res://tests/test_nav_obstacle_extraction_fallback.tscn	0	4	0	0	4	4
res://tests/test_nav_clearance_margin_avoids_wall_hugging.tscn	0	2	0	0	2	2
res://tests/test_navmesh_migration.tscn	0	15	0	0	15	15
